epoch,acc,loss,val_acc,val_loss
0,0.889904260635376,0.6627592444419861,0.9626865386962891,0.4960598647594452
1,0.9593881964683533,0.4927598536014557,0.9701492786407471,0.44317224621772766
2,0.982594907283783,0.4290873110294342,0.9900497794151306,0.40819576382637024
3,0.9894514679908752,0.4031156301498413,0.9925373196601868,0.38552504777908325
4,0.9941983222961426,0.38355863094329834,0.9875621795654297,0.3775946795940399
5,0.997890293598175,0.3649049401283264,0.9900497794151306,0.3684750199317932
6,0.9957805871963501,0.3632926344871521,0.9925373196601868,0.3653635084629059
7,1.0,0.3473495543003082,0.9900497794151306,0.3603466749191284
8,0.9994725584983826,0.34588614106178284,0.9875621795654297,0.3590739369392395
9,0.9989451766014099,0.3420238196849823,0.9900497794151306,0.3539365231990814
